Position,Up or Down,Artist,Song,Last Week,Peak Position,Weeks on Chart,Global Chart Debut,Week GC,Highest Position in Global Chart,Week HP,UA,RU,OTHER
1,up,Parfeniuk,Провела екскурсію,1,1,5,,,,,UA,0,0
2,up,DOROFEEVA,Щоб не було,2,2,5,,,,,UA,0,0
3,up,Wellboy,Додому,14,3,3,,,,,UA,0,0
4,up,INSTASAMKA,ЗА ДЕНЬГИ ДА,4,4,7,,,,,0,RU,0
5,down,Slavik Pogosov,Монро,3,3,3,,,,,0,RU,0
6,up,Lady Gaga,Bloody Mary,6,1,6,,,,,0,0,OTHER
7,up,Skofka & KALUSH,Батьківщина,7,6,4,,,,,UA,0,0
8,up,XOLIDAYBOY,Моя хулиганка,8,1,10,,,,,0,RU,0
9,down,TVORCHI,Heart of Steel,5,3,5,,,,,UA,0,0
10,up,Sam Smith & Kim Petras,Unholy,10,1,16,,,,,0,0,OTHER
11,up,Skofka,Чути гімн,11,1,24,,,,,UA,0,0
12,up,SadSvit & СТРУКТУРА ЩАСТЯ,Силуети,13,3,10,,,,,UA,0,0
13,down,Quest Pistols Show,Ти неймовірна,9,8,4,,,,,UA,0,0
14,up,Artem Pivovarov & NK,Там у тополі,23,12,9,,,,,UA,0,0
15,up,Артем Пивоваров,Маніфест,78,5,2,,,,,UA,0,0
16,down,ENLEO,веди мене в храм,15,6,9,,,,,UA,0,0
17,up,KOLA,Біля серця,17,2,17,,,,,UA,0,0
18,down,Big Baby Tape,Like A G6,12,12,4,,,,,0,RU,0
19,up,Fiinka,Довбуш,21,19,3,,,,,UA,0,0
20,down,Eminem,Mockingbird,16,3,12,,,,,0,0,OTHER
21,down,KALUSH,Додому (feat. Skofka),19,2,68,,,,,UA,0,0
22,up,INSTASAMKA,КАК MOMMY,43,22,2,,,,,0,RU,0
23,down,"Metro Boomin, The Weeknd & 21 Savage",Creepin',18,13,6,,,,,0,0,OTHER
24,down,CHEEV,Гарно так,22,1,29,,,,,UA,0,0
25,down,Endshpil,Приятная (feat. Ollane),24,16,6,,,,,0,RU,0
26,up,YAKTAK,Чекає вдома (feat. DOVI),57,9,2,,,,,UA,0,0
27,up,KALUSH,Stefania (Kalush Orchestra),31,1,35,,,,,UA,0,0
28,up,SHUMEI,Біля тополі,30,9,40,,,,,UA,0,0
29,down,Chico & Qatoshi,Ластівки,28,1,29,,,,,UA,0,0
30,down,Jah Khalib,Доча,20,2,6,,,,,0,RU,0
31,down,Tom Odell,Another Love,29,6,46,,,,,0,0,OTHER
32,up,100лица & SKYLERR,Вечорниці (Добрий день Everybody),34,2,26,,,,,UA,0,0
33,down,MOSOVICH & Batrai,Полярная звезда,26,12,7,,,,,0,RU,0
34,down,KALUSH & Kalush Orchestra,In The Shadows Of Ukraine (feat. The Rasmus),27,2,12,,,,,UA,0,0
35,up,Chico & Qatoshi,Допоможе ЗСУ,38,3,37,,,,,UA,0,0
36,down,Eminem,Superman (feat. Dina Rae),35,24,25,,,,,0,0,OTHER
37,up,Artem Pivovarov & DOROFEEVA,Думи,40,9,32,,,,,UA,0,0
38,down,Chris Brown,Under the Influence,36,3,24,,,,,0,0,OTHER
39,up,KALUSH,Файна (feat. Skofka),42,8,45,,,,,UA,0,0
40,up,RAYE,Escapism. (feat. 070 Shake),47,28,4,,,,,0,0,OTHER
41,down,Markul & Тося Чайкина,Стрелы,37,15,23,,,,,0,RU,0
42,up,KALUSH,Калуські вечорниці (feat. Tember Blanche),46,13,44,,,,,UA,0,0
43,up,Golubenko,Мила (feat. CLONNEX),44,20,10,,,,,UA,0,0
44,up,Enleo,інша любов,45,4,19,,,,,UA,0,0
45,up,Harry Styles,As It Was,52,18,41,,,,,0,0,OTHER
46,down,Mosty,Морозы,33,25,4,,,,,UA,0,0
47,up,Scriptonite,Положение,51,17,163,,,,,0,RU,0
48,up,KOLA,Чи разом?,48,1,31,,,,,UA,0,0
49,down,Wham!,Last Christmas (Single Version),25,12,16,70,12/1/2019,2,12/27/2020,0,0,OTHER
50,up,KALUSH,Зорi,53,9,50,,,,,UA,0,0
51,down,Elley Duhé,MIDDLE OF THE NIGHT,49,8,63,,,,,0,0,OTHER
52,up,ANNA ASTI,По барам,54,14,32,,,,,0,RU,0
53,up,KALUSH,Тiпок (Tipok),59,21,36,,,,,UA,0,0
54,down,Miyagi & Эндшпиль,Временно,41,1,11,,,,,0,RU,0
55,down,BARABANDA,Лист до мами,50,12,15,,,,,UA,0,0
56,up,YARMAK,ДИКЕ ПОЛЕ (feat. ALISA),56,14,33,,,,,UA,0,0
57,up,SadSvit,Касета,58,36,10,,,,,UA,0,0
58,up,Elton John & Dua Lipa,Cold Heart (PNAU Remix),60,17,67,,,,,0,0,OTHER
59,up,Lost Frequencies & Calum Scott,Where Are You Now,61,27,42,,,,,0,0,OTHER
60,up,ANGY KREYDA,Враже,65,50,21,,,,,UA,0,0
61,up,Patsyki Z Franeka,Марічка,62,10,35,,,,,UA,0,0
62,up,Один в каное,У мене немає дому,66,5,44,,,,,UA,0,0
63,up,Skofka,Не забудем і не пробачим,64,28,35,,,,,UA,0,0
64,-,The Weeknd,Blinding Lights,-,3,114,94,12/1/2019,1,3/1/2020,0,0,OTHER
65,up,Aerosmith,Dream On,67,58,7,,,,,0,0,OTHER
66,up,Scriptonite,Танцуй сама,76,28,42,,,,,0,RU,0
67,up,Мюслі UA,"Вова, їбашь їх блять",87,1,41,,,,,UA,0,0
