rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
1,spotify:track:4PGzoH4hL1vORGOTxHdWjB,INSTASAMKA,ЗА ДЕНЬГИ ДА,NaMneCash Music,1,2,6,197901,0,RU,0
2,spotify:track:61BaxM1NIcadLu3gtWm2uT,"SadSvit, СТРУКТУРА ЩАСТЯ",Силуети,Svit music,1,1,10,185185,UA,0,0
3,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,Elektra (NEK),1,3,8,159062,0,0,OTHER
4,spotify:track:3h9XZd7ZON6LubTC3AqwzT,Parfeniuk,Провела екскурсію,ShowTime Music,4,4,4,131744,UA,0,0
5,spotify:track:2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,INTERWORLD,5,5,25,125375,0,0,OTHER
6,spotify:track:4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Columbia Local,1,10,23,119209,UA,0,0
7,spotify:track:0R848ny5sEpVuR1tMXZNFr,INSTASAMKA,КАК MOMMY,NaMneCash Music,7,33,2,117249,0,RU,0
8,spotify:track:6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Kordhell,3,7,38,116294,0,0,OTHER
9,spotify:track:3XOcTnIA8aGpil8h76eH7N,zxcursed,mana break,A+,2,8,12,104322,0,RU,0
10,spotify:track:0ePYZtHRuP9NZqlkEDCaC4,"Scally Milano, 163ONMYNECK, MAYOT",Йупи Йо,Scally Milano,4,6,3,98844,0,RU,0
11,spotify:track:5BY094QwLvZFh737Ytvgpy,Big Baby Tape,Like A G6,Effective Records,6,9,3,98133,0,RU,0
12,spotify:track:4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Independent,12,16,38,84488,UA,0,0
13,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,12,15,83665,0,0,OTHER
14,spotify:track:11BKm0j4eYoCPPpCONAVwA,Lady Gaga,Bloody Mary,Interscope,3,11,6,79489,0,0,OTHER
15,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,8,15,10,79379,0,0,OTHER
16,spotify:track:7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Columbia Local,2,21,80,78875,UA,0,0
17,spotify:track:21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,steezy,1,18,29,78856,0,RU,0
18,spotify:track:7mLWNwcvwRdEviz6SfYp8A,g3ox_em,GigaChad Theme - Phonk House Version,g3ox_em,18,26,11,76653,0,0,OTHER
19,spotify:track:5Zlb01Jcn0Ld49zazzZJSB,"TWISTED, Oliver Tree",WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,Artist Partner Group – FF10,11,19,10,76649,0,0,OTHER
20,spotify:track:5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Sadfriendd x MUPP,3,20,32,76315,0,RU,0
21,spotify:track:2FRnf9qhLbvw8fu4IBXx78,Wham!,Last Christmas,Epic,6,35,17,74436,0,0,OTHER
22,spotify:track:7itGrDB969S4fJc4GDodiA,INSTASAMKA,POPSTAR,NaMneCash Music,1,38,16,73250,0,RU,0
23,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,2,22,12,72629,0,0,OTHER
24,spotify:track:6yeVk9XbjCQOAGg6t0k7j7,"Clonnex, Semmyx",Pitbull,Clonnex & Semmyx,13,13,3,72623,UA,0,0
25,spotify:track:6JrGELYUIbZvBV74j4Q5LN,ENLEO,інша любов,SADNESS RCRDS,6,28,25,71845,UA,0,0
26,spotify:track:7vQbuQcyTflfCIOu3Uzzya,Bobby Helms,Jingle Bell Rock,Geffen,8,50,15,70334,0,0,OTHER
27,spotify:track:4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,AA Team,1,25,22,69799,0,RU,0
28,spotify:track:2vHzOWRKYPLu8umRPIFuOq,"KALUSH, Kalush Orchestra",Stefania (Kalush Orchestra),Columbia Local,1,41,47,69641,UA,0,0
29,spotify:track:7krNeHssTmY3ijTox4OBbD,DOROFEEVA,Щоб не було,MOЗGI Entertainment,11,17,4,69383,UA,0,0
30,spotify:track:2BH3j05ZXWr5PR30sW079d,Isolate.exe,Crystals,Isolate.exe,30,32,18,68906,0,0,OTHER
31,spotify:track:3gVhsZtseYtY1fMuyYq06F,Rammstein,Sonne,Vertigo Berlin,26,27,17,68406,0,0,OTHER
32,spotify:track:5FkJHVudUByVjanCqFXRql,Mr.Kitty,After Dark,Juggernaut Music Group,12,30,115,67822,0,0,OTHER
33,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,RAVE,Dxrk,5,29,40,67207,0,0,OTHER
34,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,8,31,34,66634,0,0,OTHER
35,spotify:track:72iyEnh9p6PoyJoEnAJDjO,"SCXR SOUL, Sx1nxwy",DEMONS IN MY SOUL,SCXR SOUL,35,36,13,66603,UA,0,0
36,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,10,55,16,65946,0,0,OTHER
37,spotify:track:3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Columbia Local,13,44,44,64375,UA,0,0
38,spotify:track:0wGbyS1tExQSwOYu6UceyE,"ONIMXRU, SMITHMANE",SHADOW,ONIMXRU x SMITHMANE,13,47,21,64360,0,RU,0
39,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,16,37,118,63456,0,0,OTHER
40,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,9,64,15,62155,0,0,OTHER
41,spotify:track:7g9brrz6mR8dm1kwYFwnRx,"YARMAK, ALISA",ДИКЕ ПОЛЕ,Yarmak music,29,39,32,61893,UA,0,0
42,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,40,68,61574,0,0,OTHER
43,spotify:track:3MqaB8TndvgRZ1QSQXH7J7,SHUMEI,Біля тополі,Art Sound Media,24,46,27,60341,UA,0,0
44,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol Records,13,74,13,59858,0,0,OTHER
45,spotify:track:5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Naprocente music,5,60,36,59097,UA,0,0
46,spotify:track:4Z37y7sR5Y5LMGVyjabXhi,Fiinka,Довбуш,KINGLOMERATE,45,45,2,58929,UA,0,0
47,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,34,43,45,58918,0,0,OTHER
48,spotify:track:33s2G0h9EOdyaKlKr15ngE,"Skofka, KALUSH",Батьківщина,Columbia Local,18,24,3,58904,UA,0,0
49,spotify:track:64Qnw6jO2dnkjV9una5peq,"100лиця, SKYLERR",Вечорниці - Добрий день Everybody,Moon Vinyl s.r.o.,19,52,25,58550,UA,0,0
