rank,track_name,artist_names,streams,URL,,,,UA,RU,OTHER
1,showdown,shadowraze,339917,https://open.spotify.com/track/48fzAdCxamFYCHNXXLk6zn,,,,0,RU,0
2,astral step,shadowraze,176235,https://open.spotify.com/track/47iHvzU9Po0e6raFlgLBOF,,,,0,RU,0
3,adaptive strike,shadowraze,124229,https://open.spotify.com/track/5jXocrsUwpKwWyI5BZLKFA,,,,0,RU,0
4,Stefania (Kalush Orchestra),KALUSH,113900,https://open.spotify.com/track/0unPBMjVwn0HpWget3DBze,,,,UA,0,0
5,Putin,Cypis,104838,https://open.spotify.com/track/3lCZxajTCSYR5OnHPEfa2v,,,,0,0,OTHER
6,Лёд,WENARO,100432,https://open.spotify.com/track/7D8k995g6jdie4NF1E7Tpu,,,,0,RU,0
7,shadowfiend,shadowraze,94282,https://open.spotify.com/track/0xEET0hVtwAEI5iVMWmD5C,,,,0,RU,0
8,juggernaut (Prod. by PLVSTIC),shadowraze,90002,https://open.spotify.com/track/57V0VhEg1CAkPXeaCLikNW,,,,0,RU,0
9,Фотографирую закат,fem.love,86978,https://open.spotify.com/track/1ghdJUMhmLEpUitNwyNMWH,,,,0,RU,0
10,never enough,zxcursed,86872,https://open.spotify.com/track/48jRCynldeK3WQbvd3jr73,,,,0,RU,0
11,psiblades,shadowraze,80456,https://open.spotify.com/track/3auzaPW4fXa8oI4KbTalAU,,,,0,RU,0
12,1000-7,shadowraze,74676,https://open.spotify.com/track/2IMrzJTRHGndoUbM39QIJ7,,,,0,RU,0
13,плачь,rizza,72740,https://open.spotify.com/track/3yCKABoZU3FVFuyVBc5VlM,,,,0,RU,0
14,Aomine Daiki,quiizzzmeow,72217,https://open.spotify.com/track/5X1FYw7MXEgnPmQAYwAa0q,,,,0,RU,0
15,шо ви браття,jockii druce,69731,https://open.spotify.com/track/0cCXLN9eUn6dmAgDPpZaJV,,,,UA,0,0
16,Yeyo!,Шайни,66459,https://open.spotify.com/track/4jvw60Iw8LpSRJwy1sOmoB,,,,0,RU,0
17,ТОЛПЫ КРИЧАТ,uniqe,65823,https://open.spotify.com/track/3mcw4dkjfzj5B4Ago9NSmN,,,,0,RU,0
18,Another Love,Tom Odell,61255,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ,,,,0,0,OTHER
19,ЛАБИРИНТ,FACE,60140,https://open.spotify.com/track/7biChppM3c8q7qcVl7ceb2,,,,0,RU,0
20,99 Problems,Big Baby Tape,58163,https://open.spotify.com/track/0r9fpWPI6z3V3YZXIiVaNC,,,,0,RU,0
21,Не твоя війна,Okean Elzy,57008,https://open.spotify.com/track/0H2ZDRzULQ8tIUvxUuTlqF,,,,UA,0,0
22,ЖМУРКИ,163ONMYNECK,56063,https://open.spotify.com/track/6fiQEMbqzE6CMrcHeukmGc,,,,0,RU,0
23,Million,Big Baby Tape,55422,https://open.spotify.com/track/4umjgYILQbHyV41ZmaemQm,,,,0,RU,0
24,Close Eyes,DVRST,55358,https://open.spotify.com/track/3CLSHJv5aUROAN2vfOyCOh,,,,0,RU,0
25,Bandana,Big Baby Tape,54961,https://open.spotify.com/track/16AzcbKli3UQsxj491hJLQ,,,,0,RU,0
26,МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,54251,https://open.spotify.com/track/77B4S4jkrAkL3Ng5hEHoUU,,,,0,RU,0
27,первое свидание,алёна швец.,53517,https://open.spotify.com/track/4tPB6H0QcK4bDib8iauE28,,,,0,RU,0
28,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,47540,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o,,,,0,0,OTHER
29,За цвет голубых очей (Remix),Adecvat_production,47467,https://open.spotify.com/track/1pA2xy2nV5JjIjJxe5mhZE,,,,0,RU,0
30,кладбище,вышел покурить,46471,https://open.spotify.com/track/1xASDcZcb869OkSu86Wbw8,,,,0,RU,0
31,баночка с окурками,КОСМОНАВТОВ НЕТ,46188,https://open.spotify.com/track/7j6eSKC2Hv3lcElPyR1bP3,,,,0,RU,0
32,Доброго вечора - Where Are You From,PROBASS ∆ HARDI,45779,https://open.spotify.com/track/0O3TZYgwaRadNprRONZ7iX,,,,UA,0,0
33,Кожура,ZAPOMNI,44787,https://open.spotify.com/track/1OeGvzNcGC2s6F41lmCdjA,,,,0,RU,0
34,Додому (feat. Skofka),KALUSH,44168,https://open.spotify.com/track/7kKTYTHULdERuHGCkVyLVD,,,,UA,0,0
35,Домино,FACE,44064,https://open.spotify.com/track/6GyZQ9o0dBU9V0NIjGPz2r,,,,0,RU,0
36,ВЛЮБИЛАСЬ,Big Baby Tape,43831,https://open.spotify.com/track/3bbkkPpf8AdRU6DurnvoC4,,,,0,RU,0
37,Рассвет,КАКАЯ РАЗНИЦА,43346,https://open.spotify.com/track/0VGLb6IeeG5ZqonN5EavDu,,,,0,RU,0
38,ВЫКЛЮЧАТЕЛЬ,163ONMYNECK,42819,https://open.spotify.com/track/3oIvvpkmjxdzd7NYNg5fxm,,,,0,RU,0
39,After Dark,Mr.Kitty,41894,https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn,,,,0,0,OTHER
40,MIDDLE OF THE NIGHT,Elley Duhé,41558,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,,,,0,0,OTHER
41,untitled,semmmyq,41526,https://open.spotify.com/track/0z58HQdBeOGPCveLYfX6lO,,,,0,RU,0
42,В диапазоне,Pornofilmy,41335,https://open.spotify.com/track/1cmIuauHOxvxzTCFXFnNRL,,,,0,RU,0
43,Лифон,uniqe,41173,https://open.spotify.com/track/1vLBDj2hhzAVskV5OUQ5d2,,,,0,RU,0
44,Cumback,Nekoglai,40977,https://open.spotify.com/track/0miDZPhTC5rLUc514v6Pck,,,,0,RU,0
45,Тримай,Khrystyna Soloviy,40809,https://open.spotify.com/track/4LKfJMumpW7HyBT05uXYUx,,,,UA,0,0
46,Первый раз - remix nevroz,JojoHF,40061,https://open.spotify.com/track/1zE2dRkxtOLEOubAmqcHX3,,,,0,RU,0
47,Танцы,ssshhhiiittt!,39360,https://open.spotify.com/track/5hY09NvKjD3gBQS3qhriXD,,,,0,RU,0
48,1000-7,fem.love,38987,https://open.spotify.com/track/2L2iWhBsyosVcxx36iurfa,,,,0,RU,0
49,TRAXXXMANIA,GONE.Fludd,38285,https://open.spotify.com/track/2rowi7dF3AqhugMtAnvQmP,,,,0,RU,0
50,Phonky Town,PlayaPhonk,37860,https://open.spotify.com/track/5mnpMkzp3Z2RCCbwIEZCbv,,,,0,0,OTHER
51,22,YARMAK,37843,https://open.spotify.com/track/7651rU1gh2zSe0wP82ciHp,,,,UA,0,0
52,Marmalade,Miyagi & Andy Panda,37230,https://open.spotify.com/track/7rvEwAILTqxBpdIyUifkE8,,,,0,RU,0
53,Дежавю,kizaru,35770,https://open.spotify.com/track/1GOiMxQXZUzjzH0Sxpck0B,,,,0,RU,0
54,Heat Waves,Glass Animals,35379,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,,,,0,0,OTHER
55,12,MORGENSHTERN,35300,https://open.spotify.com/track/2B9N1fCinwxEo89GcDGB5I,,,,0,RU,0
56,Барбисайз,Дора,35198,https://open.spotify.com/track/1AMf9lmFOmLmb0e57QB78e,,,,0,RU,0
57,Я пиздатый,LIL MORTY,34978,https://open.spotify.com/track/1MiUVjoHt4jiskDrt2ZHrq,,,,0,RU,0
58,Калуські вечорниці (feat. Tember Blanche),KALUSH,34862,https://open.spotify.com/track/6keRNvHKCOhmySQa1jCX8P,,,,UA,0,0
59,Override,KSLV Noh,34774,https://open.spotify.com/track/0KYvs7DKC7Cl5IHmwpP13f,,,,0,0,OTHER
60,Обійми,Okean Elzy,34762,https://open.spotify.com/track/5561HkcMU0A4i3D6Tlsxhe,,,,UA,0,0
61,Freaks,Surf Curse,34408,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr,,,,0,0,OTHER
62,Тп на аме,СЕРЕГА ПИРАТ,34077,https://open.spotify.com/track/4stWOQpaEynPUlVAb4Jtw9,,,,0,RU,0
