week;streams;date_start;date
1;9 591 575;31.12.2021;06.01.2022
2;9 361 269;07.01.2022;13.01.2022
3;10 442 471;14.01.2022;20.01.2022
4;10 657 355;21.01.2022;27.01.2022
5;10 641 147;28.01.2022;03.02.2022
6;10 480 960;04.02.2022;10.02.2022
7;11 299 133;11.02.2022;17.02.2022
8;9 977 775;18.02.2022;24.02.2022
9;5 953 818;25.02.2022;03.03.2022
10;7 317 876;04.03.2022;10.03.2022
11;7 258 722;11.03.2022;17.03.2022
12;7 398 293;18.03.2022;24.03.2022
13;7 114 850;25.03.2022;31.03.2022
14;7 252 383;01.04.2022;07.04.2022
15;7 692 890;08.04.2022;14.04.2022
16;7 759 938;15.04.2022;21.04.2022
17;7 531 367;22.04.2022;28.04.2022
18;7 948 557;29.04.2022;05.05.2022
19;7 463 748;06.05.2022;12.05.2022
20;8 337 318;13.05.2022;19.05.2022
21;8 102 711;20.05.2022;26.05.2022
22;7 805 552;27.05.2022;02.06.2022
23;7 719 921;03.06.2022;09.06.2022
24;7 502 805;10.06.2022;16.06.2022
25;7 688 597;17.06.2022;23.06.2022
26;7 581 540;24.06.2022;30.06.2022
27;8 101 569;01.07.2022;07.07.2022
28;7 946 243;08.07.2022;14.07.2022
29;7 781 950;15.07.2022;21.07.2022
30;8 393 210;22.07.2022;28.07.2022
31;8 866 528;29.07.2022;04.08.2022
32;9 183 394;05.08.2022;11.08.2022
33;9 233 655;12.08.2022;18.08.2022
34;9 296 850;19.08.2022;25.08.2022
35;9 229 626;26.08.2022;01.09.2022
36;9 052 652;02.09.2022;08.09.2022
37;9 183 744;09.09.2022;15.09.2022
38;9 252 558;16.09.2022;22.09.2022
39;9 445 751;23.09.2022;29.09.2022
40;9 452 411;30.09.2022;06.10.2022
41;9 104 318;07.10.2022;13.10.2022
42;9 370 491;14.10.2022;20.10.2022
43;10 244 915;21.10.2022;27.10.2022
44;9 898 339;28.10.2022;03.11.2022
45;9 735 496;04.11.2022;10.11.2022
46;9 076 688;11.11.2022;17.11.2022
47;8 800 715;18.11.2022;24.11.2022
48;8 379 406;25.11.2022;01.12.2022
49;8 480 203;02.12.2022;08.12.2022
50;8 738 106;09.12.2022;15.12.2022
51;8 957 317;16.12.2022;22.12.2022
52;10 008 404;23.12.2022;29.12.2022
1;10 133 621;30.12.2022;05.01.2023
2;9 081 214;06.01.2023;12.01.2023
3;8 862 499;13.01.2023;19.01.2023
4;9 160 797;20.01.2023;26.01.2023
5;9 196 886;27.01.2023;02.02.2023
6;9 716 830;03.02.2023;09.02.2023
7;10 018 428;10.02.2023;16.02.2023
8;10 029 615;17.02.2023;23.02.2023
