Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,,Flowers,Miley Cyrus,1,919053,,https://www.youtube.com/watch?v=G7KNmW9a75Y,0,0,OTHER
2,3,Чути гімн,Skofka,25,854255,-5.9%,https://www.youtube.com/watch?v=ia50r3fa67s,UA,0,0
3,1,ЗА ДЕНЬГИ ДА,Instasamka,8,822757,-14.4%,https://www.youtube.com/watch?v=iZEca2A3tS4,0,RU,0
4,5,Провела екскурсію,Parfeniuk,6,791547,-10.2%,https://www.youtube.com/watch?v=Ryfm-7ZrL-Y,UA,0,0
5,4,Там у тополі,Артем Пивоваров & NK,10,783567,-12.7%,https://www.youtube.com/watch?v=m0u7iM6Xwxw,UA,0,0
6,2,Монро,Slavik Pogosov,5,745060,-21.4%,https://www.youtube.com/watch?v=62MxX43jHXs,0,RU,0
7,6,Батьківщина,Skofka & KALUSH,5,709631,-7.1%,https://www.youtube.com/watch?v=CSoCoSHyU5Y,UA,0,0
8,9,Чекає вдома,YAKTAK,4,667541,2.4%,https://www.youtube.com/watch?v=ed0aLnuNw_U,UA,0,0
9,7,Щоб не було,Дорофеєва Надія,6,665511,-12.1%,https://www.youtube.com/watch?v=024jiVWdPqA,UA,0,0
10,8,думи,Артем Пивоваров & Дорофеєва Надія,33,615375,-9.9%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
11,13,Stefania,KALUSH & Kalush Orchestra,50,550183,-7.4%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
12,10,Додому,Wellboy,5,549887,-10.1%,https://www.youtube.com/watch?v=-BaUkgUgyEE,UA,0,0
13,22,Сіґеле-міґеле,NAZVA,2,515809,32%,https://www.youtube.com/watch?v=T_Pep6MW1wc,UA,0,0
14,14,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,37,485134,-10.3%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
15,16,Вечорниці (Добрий день Everybody),100лиця & SKYLERR,27,478890,-10.7%,https://www.youtube.com/watch?v=qqrLTNqAfWs,UA,0,0
16,15,Ой на горі,Артем Пивоваров,28,475983,-11.5%,https://www.youtube.com/watch?v=vRQUhObXDGU,UA,0,0
17,11,"Ти щаслива будеш (Гай, зелений гай)",Dima Prokopov,7,468157,-23.2%,https://www.youtube.com/watch?v=w9l7hWlRJ5w,UA,0,0
18,17,Ластівки,Qatoshi & Chico,31,452133,-15.6%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
19,18,Враже,ANGY KREYDA,30,443495,-5.7%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
20,12,Bloody Mary,Lady Gaga,7,407641,-32.1%,https://www.youtube.com/watch?v=L1p0clhjOlg,0,0,OTHER
21,19,По барам,ANNA ASTI,32,391933,-15.7%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
22,23,Не забудем і не пробачим,Skofka,37,387324,1.9%,https://www.youtube.com/watch?v=b9EJWtj5ZjI,UA,0,0
23,46,Маніфест,Артем Пивоваров,3,386393,62.2%,https://www.youtube.com/watch?v=g9EUQ4vdebQ,UA,0,0
24,28,Цей сон (Live),Степан Гіга,33,367699,13.1%,https://www.youtube.com/watch?v=2eqMmPBvXQo,UA,0,0
25,20,Ванька-Встанька,Маша Кондратенко,27,362402,-17.1%,https://www.youtube.com/watch?v=lV9q901vS6o,UA,0,0
26,25,Біля тополі,SHUMEI,41,360935,-3.1%,https://www.youtube.com/watch?v=OdgBmb8LXKM,UA,0,0
27,26,Ты так красива,Quest Pistols,6,356420,2.3%,https://www.youtube.com/watch?v=mYcl6p3oiCc,UA,0,0
28,21,Незламна,ЛЮСЯ КАВА,31,351648,-10.9%,https://www.youtube.com/watch?v=-ZuCAA_93wc,UA,0,0
29,30,Погляд (feat. SOBOL),YAKTAK,13,312824,-2.4%,https://www.youtube.com/watch?v=WHQygkIG8xs,UA,0,0
30,27,КАК MOMMY,Instasamka,4,302659,-10.6%,https://www.youtube.com/watch?v=l3vQ0pczKnE,0,RU,0
31,24,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",40,300938,-20.4%,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
32,35,Біля серця,KOLA,18,297501,2.7%,https://www.youtube.com/watch?v=A3iPwFeleY8,UA,0,0
33,33,Думав вона янгол,Колін,7,284998,-9.2%,https://www.youtube.com/watch?v=F9mMnWcYXQ0,UA,0,0
34,34,Чорне і біле,ZOZULYA,41,278386,-4.7%,https://www.youtube.com/watch?v=he1v2LSai5U,UA,0,0
35,47,Який ти козак,Трінчер Анна Леонідівна & POSITIFF,14,278063,17.2%,https://www.youtube.com/watch?v=abqLDv5LlHE,UA,0,0
36,32,Моя хулиганка,Xolidayboy,12,276415,-13.3%,https://www.youtube.com/watch?v=u-gaETffwYM,0,RU,0
37,40,Гуляли,KOZAK SIROMAHA,4,275588,3.1%,https://www.youtube.com/watch?v=nFet6yCeOPk,UA,0,0
38,45,Силуети,SadSvit & СТРУКТУРА ЩАСТЯ,12,271144,9.2%,https://www.youtube.com/watch?v=NjDMzkRbSZI,UA,0,0
39,,Добрий день Everybody (feat. VASIA CHARISMA),Мюслі UA,22,271030,,https://www.youtube.com/watch?v=mfkiyoY8WRk,UA,0,0
