Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,Чути гімн,Skofka,10,1688106,-6%,https://www.youtube.com/watch?v=ia50r3fa67s,UA,0,0
2,3,думи,Артем Пивоваров & Дорофеєва Надія,18,961469,-3.60%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
3,4,Ластівки,Qatoshi & Chico,16,913400,-6.30%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
4,5,Вечорниці (Добрий день Everybody),100лиця & SKYLERR,12,880939,-9.60%,https://www.youtube.com/watch?v=qqrLTNqAfWs,UA,0,0
5,10,Не забудем і не пробачим,Skofka,22,837825,15.40%,https://www.youtube.com/watch?v=b9EJWtj5ZjI,UA,0,0
6,7,Stefania,KALUSH & Kalush Orchestra,35,829383,-1.50%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
7,6,Ванька-Встанька,Маша Краш,12,822228,-3.10%,https://www.youtube.com/watch?v=lV9q901vS6o,UA,0,0
8,8,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,22,760676,-5.40%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
9,2,Unholy,Sam Smith & Ким Петрас,2,748391,-29.30%,https://www.youtube.com/watch?v=Uq9gPaIzbe8,0,0,OTHER
10,11,По барам,ANNA ASTI,17,644160,3.60%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
11,12,Враже,ANGY KREYDA,15,617198,3.50%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
12,16,Біля серця,KOLA,3,604842,16.40%,https://www.youtube.com/watch?v=A3iPwFeleY8,UA,0,0
13,13,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",25,575535,-0.90%,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
14,15,Біля тополі,SHUMEI,26,562737,1.50%,https://www.youtube.com/watch?v=OdgBmb8LXKM,UA,0,0
15,14,Гарно так,Cheev,15,518833,-7.50%,https://www.youtube.com/watch?v=1gxLVS3erwM,UA,0,0
16,17,ЛП,Milana Hametova & Milana Star,3,512500,2.80%,https://www.youtube.com/watch?v=eN7mWKv-TQE,0,RU,0
17,20,POPSTAR,Instasamka,3,511118,9.10%,https://www.youtube.com/watch?v=ABNDnLv5yUY,0,RU,0
18,25,інша любов,ENLEO,12,463266,7.90%,https://www.youtube.com/watch?v=0o0iK-ufovM,UA,0,0
19,19,Некуда бежать,NЮ,4,459367,-2.80%,https://www.youtube.com/watch?v=CdsqxF1wiMI,0,RU,0
20,23,Незламна,ЛЮСЯ КАВА,16,451731,1%,https://www.youtube.com/watch?v=-ZuCAA_93wc,UA,0,0
21,22,Чорне і біле,ZOZULYA,26,437020,-3.70%,https://www.youtube.com/watch?v=he1v2LSai5U,UA,0,0
22,21,МОЯ КРАЇНА (feat. TOF),YARMAK,7,420698,-8.30%,https://www.youtube.com/watch?v=wtuVa-mOknA,UA,0,0
23,24,Калуські вечорниці (feat. Tember Blanche),KALUSH,42,420227,-3.20%,https://www.youtube.com/watch?v=doSD_dKBUF4,UA,0,0
24,,Голова,Канги & Galust,1,405011,,https://www.youtube.com/watch?v=3j6Vm_4-w-Y,0,RU,0
25,,Люлі-Люлі,Артем Пивоваров & alyona alyona,1,404011,,https://www.youtube.com/watch?v=y0lGH3c0YoY,UA,0,0
26,27,Марiчка,PATSYKI Z FRANEKA,29,379700,1.40%,https://www.youtube.com/watch?v=rHaw1MpOIzg,UA,0,0
27,,Gangsta's Paradise (feat. L.V.),Coolio,24,378554,,https://www.youtube.com/watch?v=fPO76Jlnz6c,0,0,OTHER
28,29,Another Love,Том Оделл,27,372315,3.90%,https://www.youtube.com/watch?v=MwpMEbgC7DA,0,0,OTHER
29,26,В дорогу,Skofka,31,363704,-11.10%,https://www.youtube.com/watch?v=1j4qxGVxxhg,UA,0,0
30,37,Цей сон (Live),Степан Гіга,18,342373,5.60%,https://www.youtube.com/watch?v=2eqMmPBvXQo,UA,0,0
31,41,Murder In My Mind,Kordhell,12,340702,17.10%,https://www.youtube.com/watch?v=Rj4RfirEoQQ,0,0,OTHER
32,9,Лише ти і я,Трінчер Анна Леонідівна & Voloshyn,2,335634,-56.60%,https://www.youtube.com/watch?v=e2vfVcLpC70,UA,0,0
33,30,У мене немає дому,Один в каное,31,334229,-6.70%,https://www.youtube.com/watch?v=gw2nclcoFNE,UA,0,0
34,28,Welcome to Ukraine,JKLN,15,327483,-9.50%,https://www.youtube.com/watch?v=ujdTL9eIgPk,UA,0,0
35,38,Азовсталь десь там під зорями,Delamer,10,326943,5.10%,https://www.youtube.com/watch?v=0jqNI9F8n-I,UA,0,0
36,33,Добрий день Everybody (feat. VASIA CHARISMA),Мюслі UA,13,322185,-5.50%,https://www.youtube.com/watch?v=mfkiyoY8WRk,UA,0,0
37,35,ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?),PROBASS ∆ HARDI,34,316068,-4%,https://www.youtube.com/watch?v=W2S_ayZ-Eso,UA,0,0
38,40,Тішся,Артем Пивоваров & Оля Полякова,6,305550,4.40%,https://www.youtube.com/watch?v=6y3-M72EqTQ,UA,0,0
39,39,Ой на горі,Артем Пивоваров,13,305138,-1.10%,https://www.youtube.com/watch?v=vRQUhObXDGU,UA,0,0
40,36,KUPALA,"alyona alyona, Jerry Heil & ela.",14,301207,-8.10%,https://www.youtube.com/watch?v=CU-1ugD-ceg,UA,0,0
41,65,Кров,ASKEt,2,294311,44.10%,https://www.youtube.com/watch?v=PPKqao0EKd4,UA,0,0
42,51,З C У (feat. DIRESH),LAZANOVSKYI I RIDNYI,8,285917,15.80%,https://www.youtube.com/watch?v=2PWCn8QpEtg,UA,0,0
43,18,ОЙДА,Oxxxymiron,3,284404,-41.20%,https://www.youtube.com/watch?v=pYymRbfjKv8,0,RU,0
44,43,Ой на ой,Skofka,29,278949,-0.80%,https://www.youtube.com/watch?v=PcaCISyT-X0,UA,0,0
45,53,Чисто папа,84 & Lookbuffalo,3,274681,13.20%,https://www.youtube.com/watch?v=VzBvZYIDAWQ,0,RU,0
46,32,#НЕСЕСТРИ,Jerry Heil & Людмила Шемаєва,4,268101,-23%,https://www.youtube.com/watch?v=paMlNnxMuGQ,UA,0,0
47,47,Люди,Бумбокс,25,267036,0.60%,https://www.youtube.com/watch?v=AVu5wl8U_a4,UA,0,0
48,44,Sweater Weather,The Neighbourhood,20,262515,-6.60%,https://www.youtube.com/watch?v=GCdwKhTtNNw,0,0,OTHER
49,46,Ай-яй-яй (Дикая),Іслам Ітляшев,18,259434,-3.80%,https://www.youtube.com/watch?v=bkVc4GDpWK8,0,RU,0
50,50,СІРНИК,Skofka,20,257924,2.90%,https://www.youtube.com/watch?v=oL3_nZtyzAw,UA,0,0
51,45,MONEYKEN LOVE,Instasamka,12,257822,-5.60%,https://www.youtube.com/watch?v=VrbVxtx7TFc,0,RU,0
52,63,Позвони,DJ Smash & NIVESTA,3,252546,20.20%,https://www.youtube.com/watch?v=ByVPVWCQVV8,0,RU,0
53,54,Кохайтеся Чорнобриві,Jerry Heil,8,249992,3.60%,https://www.youtube.com/watch?v=fdQFMe6NsF8,UA,0,0
54,72,Back to Life (Birthdae),ScurtDae,2,241650,33.50%,https://www.youtube.com/watch?v=5hoqWsCrbS0,0,0,OTHER
55,48,Панночка (Alex Caspian Remix),"Chico, Qatoshi & Alex Caspian",14,233073,-10%,https://www.youtube.com/watch?v=sCYH6bEnCoU,UA,0,0
56,31,BUGATTI,Arut & MORGENSHTERN,3,229777,-34.90%,https://www.youtube.com/watch?v=FVlSjitljSg,0,RU,0
57,55,#МРІЯ,Jerry Heil,19,228981,-2.90%,https://www.youtube.com/watch?v=YujzhGdUIFE,UA,0,0
58,52,Бадаладушки (feat. Badabum),Sivchik,3,218716,-11.20%,https://www.youtube.com/watch?v=XDq8V3oW5IA,0,RU,0
59,62,ПОГУДИМ,RASA,6,215521,2.50%,https://www.youtube.com/watch?v=ddW4dZ7THRg,0,RU,0
60,60,Живи,YULIYA ROZNEN,13,210201,-2.40%,https://www.youtube.com/watch?v=u5KvPV3sZTg,UA,0,0
61,66,Bones,Imagine Dragons,10,210002,2.90%,https://www.youtube.com/watch?v=TO-_3tck2tg,0,0,OTHER
62,58,Воїни світла,Ляпис Трубецкой,9,207477,-6.80%,https://www.youtube.com/watch?v=ayDNTDcZok8,0,0,OTHER
63,68,Татанці,Марина Тимофійчук,10,205417,5.30%,https://www.youtube.com/watch?v=AF0Mitd05_A,UA,0,0
64,42,Відлюбилося,Averin & CHURSANOV,3,204802,-28.60%,https://www.youtube.com/watch?v=Hs5OWngKLoc,UA,0,0
65,,Соколи,Mirami,22,203367,,https://www.youtube.com/watch?v=TMuKsFeqFv4,UA,0,0
66,,Close Eyes,DVRST,25,202090,,https://www.youtube.com/watch?v=ao4RCon11eY,0,RU,0
67,,Мрієшся,Cheev,1,200253,,https://www.youtube.com/watch?v=wugM4iz1r04,UA,0,0
68,67,Я нікому тебе не віддам,Роман Скорпіон & Тоня Матвієнко,13,194696,-0.60%,https://www.youtube.com/watch?v=drCEvriWmwc,UA,0,0
69,57,В голові туман,Voloshyn,4,189946,-15.80%,https://www.youtube.com/watch?v=Exqn3G12cRQ,UA,0,0
70,,У райському саду (Яворина) (Live),Степан Гіга,12,186436,,https://www.youtube.com/watch?v=yUdwrxAEYQI,UA,0,0
71,81,Under The Influence,Chris Brown,6,183861,15.10%,https://www.youtube.com/watch?v=LPnDCTqW7zw,0,0,OTHER
