rank,Track Name,Artist,Streams,URL,,,,UA,RU,OTHER
1,Кожура,ZAPOMNI,203003,https://open.spotify.com/track/1OeGvzNcGC2s6F41lmCdjA,,,,0,RU,0
2,astral step,shadowraze,184538,https://open.spotify.com/track/47iHvzU9Po0e6raFlgLBOF,,,,0,RU,0
3,99 Problems,Big Baby Tape,159708,https://open.spotify.com/track/0r9fpWPI6z3V3YZXIiVaNC,,,,0,RU,0
4,Million,Big Baby Tape,145260,https://open.spotify.com/track/4umjgYILQbHyV41ZmaemQm,,,,0,RU,0
5,Bandana,Big Baby Tape,136383,https://open.spotify.com/track/16AzcbKli3UQsxj491hJLQ,,,,0,RU,0
6,Барбисайз,Дора,122183,https://open.spotify.com/track/1AMf9lmFOmLmb0e57QB78e,,,,0,RU,0
7,Лёд,WENARO,112959,https://open.spotify.com/track/7D8k995g6jdie4NF1E7Tpu,,,,0,RU,0
8,Лифон,uniqe,107520,https://open.spotify.com/track/1vLBDj2hhzAVskV5OUQ5d2,,,,0,RU,0
9,Marmalade,Miyagi & Andy Panda,98254,https://open.spotify.com/track/7rvEwAILTqxBpdIyUifkE8,,,,0,RU,0
10,ВЛЮБИЛАСЬ,Big Baby Tape,94118,https://open.spotify.com/track/3bbkkPpf8AdRU6DurnvoC4,,,,0,RU,0
11,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,93272,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,,,,0,0,OTHER
12,плачь,rizza,91877,https://open.spotify.com/track/3yCKABoZU3FVFuyVBc5VlM,,,,0,RU,0
13,ТОЛПЫ КРИЧАТ,uniqe,90081,https://open.spotify.com/track/3mcw4dkjfzj5B4Ago9NSmN,,,,0,RU,0
14,Вина (feat. 17 SEVENTEEN),OG Buda,86055,https://open.spotify.com/track/1Kp2TF4fFYjJPqEMf1U0RK,,,,0,RU,0
15,juggernaut (Prod. by PLVSTIC),shadowraze,85941,https://open.spotify.com/track/57V0VhEg1CAkPXeaCLikNW,,,,0,RU,0
16,TRAXXXMANIA,GONE.Fludd,83995,https://open.spotify.com/track/2rowi7dF3AqhugMtAnvQmP,,,,0,RU,0
17,shadowfiend,shadowraze,82844,https://open.spotify.com/track/0xEET0hVtwAEI5iVMWmD5C,,,,0,RU,0
18,Aomine Daiki,quiizzzmeow,81780,https://open.spotify.com/track/5X1FYw7MXEgnPmQAYwAa0q,,,,0,RU,0
19,psiblades,shadowraze,78585,https://open.spotify.com/track/3auzaPW4fXa8oI4KbTalAU,,,,0,RU,0
20,Close Eyes,DVRST,78040,https://open.spotify.com/track/3CLSHJv5aUROAN2vfOyCOh,,,,0,RU,0
21,сети,quiizzzmeow,75740,https://open.spotify.com/track/2mKa6WpSZ97avRyIlPKRK8,,,,0,RU,0
22,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,74868,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,,,,0,0,OTHER
23,Baby mama,Skryptonite,74727,https://open.spotify.com/track/5X33A2X2OuQXUOKhawWCMm,,,,0,RU,0
24,Фотографирую закат,fem.love,73894,https://open.spotify.com/track/1ghdJUMhmLEpUitNwyNMWH,,,,0,RU,0
25,1000-7,shadowraze,73003,https://open.spotify.com/track/2IMrzJTRHGndoUbM39QIJ7,,,,0,RU,0
26,Сан Ларан,Платина,72736,https://open.spotify.com/track/07OqyOeHz7LOGVuXUx4pr3,,,,0,RU,0
27,STAY (with Justin Bieber),The Kid LAROI,70946,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,,,,0,0,OTHER
28,СОЛНЦЕ МОНАКО,Lusia Chebotina,70900,https://open.spotify.com/track/5YDBHDEIgWkfairCJgGApW,,,,0,RU,0
29,Башня,Даня Милохин,70290,https://open.spotify.com/track/7gPyGGhy2cVVVOq5V5jUt4,,,,0,RU,0
30,Last Christmas,Wham!,69044,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,,,,0,0,OTHER
31,Mama Makusa,Big Baby Tape,67265,https://open.spotify.com/track/6h2f5GrfpXo6eZCxUdzvF2,,,,0,RU,0
32,Звезда упала,Sqwore,65938,https://open.spotify.com/track/2398GSLbctyjLClJrqskt2,,,,0,RU,0
33,Привет,Kambulat,65761,https://open.spotify.com/track/2INWHGzw5qTbdeLDARChfe,,,,0,RU,0
34,Rockin' Around The Christmas Tree,Brenda Lee,64372,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,,,,0,0,OTHER
35,Дорадура,Дора,64124,https://open.spotify.com/track/4mTPviBGRgjPxeaQFnBDW3,,,,0,RU,0
36,abcdefu,GAYLE,63254,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,,,,0,0,OTHER
37,Jingle Bell Rock,Bobby Helms,62859,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,,,,0,0,OTHER
38,Big Tymers,Big Baby Tape,60631,https://open.spotify.com/track/66jiJ5DX54pWNBL2Vt2859,,,,0,RU,0
39,Домой,MORGENSHTERN,60440,https://open.spotify.com/track/5bA2HBafCfregvLZV4idXb,,,,0,RU,0
40,All I Want for Christmas Is You,Mariah Carey,59369,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,,,,0,0,OTHER
41,кладбище,вышел покурить,58561,https://open.spotify.com/track/1xASDcZcb869OkSu86Wbw8,,,,0,RU,0
42,1000-7,fem.love,58135,https://open.spotify.com/track/2L2iWhBsyosVcxx36iurfa,,,,0,RU,0
43,Dirrt,Big Baby Tape,57236,https://open.spotify.com/track/0h3jDrGXvkETn0xJRcZOJ9,,,,0,RU,0
44,untitled,semmmyq,56160,https://open.spotify.com/track/0z58HQdBeOGPCveLYfX6lO,,,,0,RU,0
45,Гуси,Wellboy,55829,https://open.spotify.com/track/0NPRigM2lZGGFW3OD48g43,,,,UA,0,0
46,Дежавю,kizaru,55804,https://open.spotify.com/track/1GOiMxQXZUzjzH0Sxpck0B,,,,0,RU,0
47,Кукла колдуна,Korol i Shut,55035,https://open.spotify.com/track/2DYzsMQpO7xOw7b3JwyIWP,,,,0,RU,0
48,Патрон,Miyagi & Andy Panda,54844,https://open.spotify.com/track/3uCth4TIWyeQDnj3YbAVQB,,,,0,RU,0
49,LIPSI HA,INSTASAMKA,54717,https://open.spotify.com/track/54ZhPL5soHKDxg9a5wizPv,,,,0,RU,0
50,So Icy Nihao,Big Baby Tape,52969,https://open.spotify.com/track/5Wr1F6BoB9BQ4wtlefGpK3,,,,0,RU,0
51,Я пиздатый,LIL MORTY,52405,https://open.spotify.com/track/1MiUVjoHt4jiskDrt2ZHrq,,,,0,RU,0
52,Ride Or Die,Big Baby Tape,51887,https://open.spotify.com/track/5shMiLCYjeNGe1WKikPg6T,,,,0,RU,0
53,Infinite Tsukuyomi,ROCKET,50614,https://open.spotify.com/track/1w6yKhAgRhIaZhsWEay2H3,,,,0,RU,0
54,Rampampam,Minelli,48798,https://open.spotify.com/track/1esZgaqm0YKN87CIP3orJ3,,,,0,0,OTHER
55,MIDDLE OF THE NIGHT,Elley Duhé,48754,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,,,,0,0,OTHER
56,Афган,Max Korzh,48652,https://open.spotify.com/track/49y9IcSwgoYR8YBBvwllP2,,,,0,RU,0
57,Brooklyn,Miyagi & Andy Panda,48577,https://open.spotify.com/track/6WX6YUtobLydEjuvFqVggj,,,,0,RU,0
58,Toxic,BoyWithUke,47869,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v,,,,0,0,OTHER
